,filename,location,name,release_date,overview,genre,vote_average,vote_count,popularity,cast_top5,trailer,poster,director,runtime
196,Life.of.Pi.2012.720p.BRrip.x264.GAZ.YIFY.mp4,D:/Movies\Life of Pi (2012),Life of Pi,2012-11-20,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.","Adventure, Drama",7.405,13562,7.5062,"Suraj Sharma as Pi Patel
Irrfan Khan as Adult Pi Patel
Ayush Tandon as Pi Patel (11-12 Years)
Gautam Belur as Pi Patel (5 Years)
Adil Hussain as Santosh Patel
",https://youtu.be/j9Hjrs6WQ8M,https://image.tmdb.org/t/p/w154/iLgRu4hhSr6V1uManX6ukDriiSc.jpg,Ang Lee,127 min
197,The.Great.Gatsby.2013.1080p.BluRay.x264.YIFY.mp4,D:/Movies\The Great Gatsby (2013) [1080p],The Great Gatsby,2013-05-09,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","Drama, Romance",7.356,12767,8.9855,"Leonardo DiCaprio as Jay Gatsby
Tobey Maguire as Nick Carraway
Carey Mulligan as Daisy Buchanan
Joel Edgerton as Tom Buchanan
Elizabeth Debicki as Jordan Baker
",https://youtu.be/4w8lohkQtbY,https://image.tmdb.org/t/p/w154/tyxfCBQv6Ap74jcu3xd7aBiaa29.jpg,Baz Luhrmann,143 min
198,What.Dreams.May.Come.1998.1080p.BluRay.x264.YIFY.mp4,D:/Movies\What Dreams May Come (1998) [1080p],What Dreams May Come,2018-11-07,"This is a story between dream and reality, waiting for happiness and living in a prison and finally getting it and breaking free.",Drama,0.0,0,0.0755,"Cecilia Saracino as 
",https://youtu.be/4w8lohkQtbY,https://image.tmdb.org/t/p/w154/8mHPnftrR134lMFHJhmR8e4cZ7V.jpg,Eckhart Schmidt,27 min
199,Donnie Brasco.avi,D:/Movies\Donnie Brasco [Eng] [1997],Donnie Brasco,1997-02-27,An FBI undercover agent infiltrates the mob and identifies more with the mafia life at the expense of his regular one.,"Crime, Drama, Thriller",7.537,4737,4.1106,"Johnny Depp as Donnie Brasco / Joseph D. 'Joe' Pistone
Al Pacino as Benjamin 'Lefty' Ruggiero
Michael Madsen as Dominick 'Sonny Black' Napolitano
Bruno Kirby as Nicholas 'Nicky' Santora
James Russo as Paulie
",No trailer available,https://image.tmdb.org/t/p/w154/xtKLvpOfARi1XVm8u2FTdhY5Piq.jpg,Mike Newell,127 min
200,The.Orphanage.avi,D:/Movies\The.Orphanage.2007.READNFO.DVDRiP.XViD-iKA,The Orphanage,2013-06-22,"After a fatal accident occurs, Nathan Perry is assigned to the Milwood facility for young adults. During his time at Milwood, Nathan becomes a victim of unforeseen terror and unusual behavior.","Drama, Horror, Mystery, Thriller",5.267,15,6.4437,"Jimmy Scanlon as Mr. Clemens
Michelle Romano as Judy
Tiffany Shepis as Katherine Rizzo
Vinny Vella as Dino
Trudi Goodman as Ms. Churchel
",https://youtu.be/habMATB027c,https://image.tmdb.org/t/p/w154/u6HHZ3TdTEsNxBmmgbWeD96n7JA.jpg,"Evan Goldman, Jimmy Scanlon",90 min
201,X.Men.Days.of.Future.Past.2014.720p.BluRay.x264.YIFY.mp4,D:/Movies\X Men Days of Future Past (2014),X Men Days of Future Past,2014-05-15,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"Action, Adventure, Science Fiction",7.529,15999,11.8874,"Hugh Jackman as Logan / Wolverine
James McAvoy as Charles Xavier
Michael Fassbender as Erik Lehnsherr
Patrick Stewart as Professor X
Ian McKellen as Magneto
",https://youtu.be/pK2zYHWDZKo,https://image.tmdb.org/t/p/w154/tYfijzolzgoMOtegh1Y7j2Enorg.jpg,Bryan Singer,132 min
202,The.Dark.Knight.2008.720p.BluRay.x264.YIFY.mp4,D:/Movies\The Dark Knight (2008),The Dark Knight,2008-07-16,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Action, Crime, Thriller",8.526,35082,29.9508,"Christian Bale as Bruce Wayne
Heath Ledger as Joker
Aaron Eckhart as Harvey Dent
Michael Caine as Alfred
Maggie Gyllenhaal as Rachel
",No trailer available,https://image.tmdb.org/t/p/w154/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Christopher Nolan,152 min
203,The.Dark.Knight.Rises.2012.720p.BluRay.x264.YIFY.mp4,D:/Movies\The Dark Knight Rises (2012),The Dark Knight Rises,2012-07-17,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","Action, Crime, Drama, Thriller",7.791,23933,16.9091,"Christian Bale as Bruce Wayne
Gary Oldman as Commissioner Gordon
Tom Hardy as Bane
Joseph Gordon-Levitt as Blake
Anne Hathaway as Selina
",https://youtu.be/z5Humz3ONgk,https://image.tmdb.org/t/p/w154/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,Christopher Nolan,165 min
204,An.Inconvenient.Truth.DVDSCR.mVCD-DCvCD.mpg,D:/Movies\An Inconvenient Truth (Al Gore's Movie),An Inconvenient Truth,2006-05-24,A documentary on Al Gore's campaign to make the issue of global warming a recognized problem worldwide.,Documentary,6.976,939,1.4626,"Al Gore as Self
Billy West as Various (voice)
Ronald Reagan as Self (archive footage)
George W. Bush as Self (archive footage)
George H. W. Bush as Self (archive footage)
",https://youtu.be/wnjx6KETmi4,https://image.tmdb.org/t/p/w154/zrYT5UHE2UIsofwkv6KK2Tsu5a.jpg,Davis Guggenheim,100 min
205,Babylon AD 2008.avi,D:/Movies\Babylon AD DVD RIP,Babylon AD,2008-08-20,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,"Action, Adventure, Science Fiction, Thriller",5.665,2209,3.8352,"Vin Diesel as Toorop
Mélanie Thierry as Aurora
Lambert Wilson as Dr. Arthur Darquandier
Charlotte Rampling as CEO of Noelite Church
Michelle Yeoh as Sister Rebeka
",https://youtu.be/_wW9pYbRkjk,https://image.tmdb.org/t/p/w154/2yyuJXUjD9JH54ZjFS6PJikHtWU.jpg,Mathieu Kassovitz,101 min
206,Be.Kind.Rewind[2008]DvDrip-aXXo.avi,D:/Movies\Be.Kind.Rewind[2008]DvDrip-aXXo,Be Kind Rewind,2008-02-21,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.","Drama, Comedy",6.311,1433,1.7145,"Jack Black as Jerry
Yasiin Bey as Mike
Danny Glover as Mr. Fletcher
Mia Farrow as Ms. Kimberley
Melonie Díaz as Alma
",https://youtu.be/k3nTuWWbtg0,https://image.tmdb.org/t/p/w154/f0oX20YrQEiVPDH9InCQ1d3Cm66.jpg,Michel Gondry,102 min
207,Bound.avi,D:/Movies\Bound,Bound,1996-09-13,"Corky, a tough female ex-convict working on an apartment renovation in a Chicago building, meets a couple living next door, Caesar, a paranoid mobster, and Violet, his seductive girlfriend, who is immediately attracted to her.","Drama, Thriller, Crime",7.22,1047,4.9257,"Gina Gershon as Corky
Jennifer Tilly as Violet
Joe Pantoliano as Caesar
John P. Ryan as Mickey Malnato
Christopher Meloni as Johnnie Marzzone
",https://youtu.be/ToCMwdOaWh4,https://image.tmdb.org/t/p/w154/9qAy6UWVw44dGrsyKrdEMt5qIUM.jpg,"Lilly Wachowski, Lana Wachowski",105 min
208,Scrooged.1988.1080p.BluRay.H264.AAC-RARBG.mp4,D:/Movies\Scrooged.1988.1080p.BluRay.H264.AAC-RARBG,Scrooged,1988-11-22,"Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.","Fantasy, Comedy, Drama",6.785,1651,3.9969,"Bill Murray as Francis Cross
Karen Allen as Claire Phillips
John Forsythe as Lew Hayward
John Glover as Bryce Cummings
Bobcat Goldthwait as Eliot Loudermilk
",No trailer available,https://image.tmdb.org/t/p/w154/uO0znfB2ZzTXA1IS7jkrjNbpkYK.jpg,Richard Donner,101 min
209,Secret.In.Their.Eyes.2015.720p.WEB-DL.850MB.MkvCage.mkv,D:/Movies\PopcornTime,Secret In Their Eyes,2015-10-14,"A tight-knit team of FBI investigators, along with their District Attorney supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.","Thriller, Mystery, Crime",6.357,1412,2.3496,"Chiwetel Ejiofor as Ray
Nicole Kidman as Claire
Julia Roberts as Jess
Dean Norris as Bumpy
Alfred Molina as Martin Morales
",https://youtu.be/NODxOb3hgag,https://image.tmdb.org/t/p/w154/gJl4iTxQlazkPCplGmSLGBUwqg9.jpg,Billy Ray,111 min
210,17.Again.2009.720p.BrRip.x264.YIFY.mp4,D:/Movies\PopcornTime\17 Again (2009),17 Again,2009-03-11,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.","Comedy, Fantasy, Drama, Romance",6.313,5340,4.2164,"Zac Efron as Mike O'Donnell
Leslie Mann as Scarlett O'Donnell
Thomas Lennon as Ned Gold
Michelle Trachtenberg as Maggie O'Donnell
Sterling Knight as Alex O'Donnell
",https://youtu.be/2wn6pAIRjjY,https://image.tmdb.org/t/p/w154/yEcfFXEWpuXcfsR9nKESVCFneqV.jpg,Burr Steers,102 min
211,Clouds.of.Sils.Maria.2014.1080p.BluRay.x264.YIFY.mp4,D:/Movies\PopcornTime\Clouds of Sils Maria (2014) [1080p],Clouds of Sils Maria,2014-08-20,A veteran actress comes face-to-face with an uncomfortable reflection of herself when she agrees to take part in a revival of the play that launched her career 20 years earlier.,Drama,6.581,794,2.122,"Juliette Binoche as Maria Enders
Kristen Stewart as Valentine
Chloë Grace Moretz as Jo-Ann Ellis
Lars Eidinger as Klaus Diesterweg
Johnny Flynn as Christopher Giles
",https://youtu.be/CYBgifQOaVA,https://image.tmdb.org/t/p/w154/dtCZ31RlokpkAaKMr9jFCJjBngi.jpg,Olivier Assayas,124 min
212,Elysium.2013.1080p.BluRay.x264.YIFY.mp4,D:/Movies\PopcornTime\Elysium (2013) [1080p],Elysium,2013-08-07,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government official, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.","Science Fiction, Action, Drama, Thriller",6.514,9363,6.4187,"Matt Damon as Max
Jodie Foster as Delacourt
Sharlto Copley as Kruger
Diego Luna as Julio
Wagner Moura as Spider
",https://youtu.be/oIBtePb-dGY,https://image.tmdb.org/t/p/w154/uiiXHBd9oUrtUa4YqZiAoy05cRz.jpg,Neill Blomkamp,109 min
213,Hector.and.the.Search.for.Happiness.2014.1080p.BluRay.x264.YIFY.mp4,D:/Movies\PopcornTime\Hector and the Search for Happiness (2014) [1080p],Hector and the Search for Happiness,2014-08-14,"Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results.","Adventure, Drama, Comedy",6.689,934,2.1257,"Simon Pegg as Hector
Rosamund Pike as Clara
Toni Collette as Agnes
Stellan Skarsgård as Edward
Christopher Plummer as Professor Coreman
",https://youtu.be/iWFVAIbIkS4,https://image.tmdb.org/t/p/w154/lymRg46xAt6s9ApWa9MBcgnzXAS.jpg,Peter Chelsom,114 min
214,Lone.Survivor.2013.1080p.BluRay.x264.YIFY.mp4,D:/Movies\PopcornTime\Lone Survivor (2013) [1080p],Lone Survivor,2013-12-24,"Four Navy SEALs on a covert mission to neutralize a high-level Taliban operative must make an impossible moral decision in the mountains of Afghanistan that leads them into an enemy ambush. As they confront unthinkable odds, the SEALs must find reserves of strength and resilience to fight to the finish.","War, Action, Drama",7.433,4617,5.5825,"Mark Wahlberg as Petty Officer First Class Marcus Luttrell
Taylor Kitsch as Lieutenant Michael ""Mike"" Murphy
Emile Hirsch as Petty Officer Second Class Danny Dietz
Ben Foster as Petty Officer Second Class Matthew ""Axe"" Axelson
Eric Bana as Lieutenant Commander Erik Kristensen
",https://youtu.be/0cPJ1ifjBDs,https://image.tmdb.org/t/p/w154/zlT3RSPO6GlSyb5QrLrFcDmhrQ7.jpg,Peter Berg,121 min
215,Room 2015 1080p BluRay x264 DTS-JYK.mkv,D:/Movies\PopcornTime\Room 2015 1080p BluRay x264 DTS-JYK,Room,2015-10-16,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Drama, Thriller",7.998,9543,3.8284,"Brie Larson as Ma
Jacob Tremblay as Jack
Joan Allen as Nancy
Sean Bridgers as Old Nick
Tom McCamus as Leo
",https://youtu.be/6C6fZ-fwDws,https://image.tmdb.org/t/p/w154/2hHDMeYyZjbGWn0BeNH1cTMxuM7.jpg,Lenny Abrahamson,118 min
216,Sicario.2015.1080p.BluRay.H264.AAC-RARBG.mp4,D:/Movies\PopcornTime\Sicario.2015.1080p.BluRay.H264.AAC-RARBG,Sicario,2015-09-17,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"Action, Crime, Thriller",7.415,9295,10.2366,"Emily Blunt as Kate Macer
Benicio del Toro as Alejandro Gillick
Josh Brolin as Matt Graver
Victor Garber as Dave Jennings
Jon Bernthal as Ted
",https://youtu.be/7XLQ1bkSLDo,https://image.tmdb.org/t/p/w154/lz8vNyXeidqqOdJW9ZjnDAMb5Vr.jpg,Denis Villeneuve,122 min
217,The.Fall.2007.BrRip.720.x264.YIFY.mkv,D:/Movies\PopcornTime\The Fall (2006),The Fall,2009-10-30,Two brothers are forced to confront a terrible crime that was hidden in their past.,Drama,5.5,2,0.549,"Jimmie L. Akins as officer Washington
Jason Ballantine as subpoena cop
Greg Beam as David
Peter Cilella as Erik Masters
Erica Curtis as Mery Beth
",https://youtu.be/UqlE2s5quL4,https://image.tmdb.org/t/p/w154/nvbCm5ghSkv3WjwPx6QPrgeRY4T.jpg,John Krueger,110 min
218,Che Part One 2008.avi,D:/Movies\Ché,Che Part One,2008-09-05,"Ernesto Guevara, known as 'Che', leads a group of Cuban exiles under Fidel Castro in a revolution to overthrow Fulgencio Batista, the dictator of Cuba.","Drama, History, War",6.8,802,4.4783,"Benicio del Toro as Ernesto Che Guevara
Demián Bichir as Fidel Castro
Santiago Cabrera as Camilo Cienfuegos
Vladimir Cruz as Ramiro Valdés Menéndez
Alfredo de Quesada as Israel Pardo
",https://youtu.be/fqTw2dtVQzw,https://image.tmdb.org/t/p/w154/ndxoK8RZF1nfHvZzQ3f2sNlkkzg.jpg,Steven Soderbergh,134 min
219,Che Part Two.avi,D:/Movies\Ché,Che Part Two,2008-12-12,"Seven years after his triumph in Cuba, Che winds up in Bolivia, where he tries to ignite the same revolutionary fires as before.","Drama, History, War",6.642,669,4.4281,"Benicio del Toro as Ernesto Che Guevara
Carlos Bardem as Moisés Guevara
Demián Bichir as Fidel Castro
Joaquim de Almeida as President René Barrientos
Pablo Durán as Pacho (Alberto Fernández Montes de Oca)
",https://youtu.be/O7JIkJDxbzU,https://image.tmdb.org/t/p/w154/fKQwwWXYQNkrZa59VbnfVy2kfoF.jpg,Steven Soderbergh,135 min
220,Alacran Enamorado (2013) [DVDRip][Castellano-AC3][www.lokotorrents.com].avi,D:/Movies\from keiths dec 15,Alacran Enamorado,2013-04-12,"Julian (Álex González) and his friend Luis (Miguel Angel Silvestre) are two neighborhood boys who are part of a gang of violent neo-Nazis, led by Solis (Javier Bardem). After start training in a gym, Julian is transformed gradually thanks to the discipline of boxing, the nobility of his coach (Carlos Bardem) and the love of a young latin girl (Judith Diakhate). All of this takes away from the group, but Luis is not ready to accept that leave the ""herd"".","Romance, Thriller, Drama",6.226,31,3.0797,"Álex González as Julián 'Alacrán' López
Miguel Ángel Silvestre as Luis
Carlos Bardem as Carlomonte
Judith Diakhate as Alyssa
Hovik Keuchkerian as Pedro
",https://youtu.be/O7JIkJDxbzU,https://image.tmdb.org/t/p/w154/nA9YI2PEsiiJ4paaOg0LCkPEKnA.jpg,Santiago A. Zannou,100 min
221,Betty.Blue.1986.Directors.Cut.720p.BluRay.x264.anoXmous.mp4,D:/Movies\from keiths dec 15,Betty Blue,1986-04-09,A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.,"Drama, Romance",7.2,446,4.1626,"Jean-Hugues Anglade as Zorg
Béatrice Dalle as Betty
Gérard Darmon as Eddy
Consuelo De Haviland as Lisa
Clémentine Célarié as Annie
",https://youtu.be/lRvPEJsM3aE,https://image.tmdb.org/t/p/w154/dGkxgj2ozlD4yRtsJL35EUXegFv.jpg,Jean-Jacques Beineix,120 min
222,Biutiful 2010 720p BRRip x264 RmD (HDScene Release).mkv,D:/Movies\from keiths dec 15,Biutiful,2010-10-20,"This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.",Drama,7.253,1176,3.4951,"Javier Bardem as Uxbal
Maricel Álvarez as Marambra
Hanaa Bouchaib as Ana
Guillermo Estrella as Mateo
Eduard Fernández as Tito
",https://youtu.be/ygyeEOcKGWM,https://image.tmdb.org/t/p/w154/4BLshBMp8INRDhvfuKwxMlHDIIt.jpg,Alejandro González Iñárritu,148 min
223,Blue Ruin [2013] HDRip XViD juggs[ETRG].avi,D:/Movies\from keiths dec 15,Blue Ruin,2014-04-25,"When the quiet life of a beach bum is upended by dreadful news, he sets off for his childhood home to carry out an act of vengeance. However, he proves an inept assassin and finds himself in a brutal fight to protect his estranged family.","Crime, Thriller",6.789,1584,1.1616,"Macon Blair as Dwight Evans
Devin Ratray as Ben Gaffney
Amy Hargreaves as Sam Evans
Kevin Kolack as Teddy Cleland
Eve Plumb as Kris Cleland
",https://youtu.be/hCXRTdzkDas,https://image.tmdb.org/t/p/w154/q0itEsso2drJXqH9kfdidxIT5dF.jpg,Jeremy Saulnier,91 min
